mp_id,formula,composition,crystal_system,symmetry_symbol,volume,density,e_fermi,formation_energy_per_atom,band_gap,bandgap_direct
mp-1077738,YbCdNi4,"{'Yb': 1, 'Cd': 1, 'Ni': 4}",Cubic,F-43m,80.75641045098537,10.697024135695939,5.57395237,-0.27671275166666653,0.0,False
mp-1079681,ZrAu3,"{'Zr': 1, 'Au': 3}",Orthorhombic,Pmmn,146.15254192834183,15.500148663618427,5.42286257,-0.5027284375000001,0.0,False
mp-1102504,CoPW,"{'Co': 1, 'P': 1, 'W': 1}",Orthorhombic,Pnma,143.59570629573278,12.662426424511516,9.49109599,-0.44391600361111117,0.0,False
mp-1095660,EuIn4Cu,"{'Eu': 1, 'In': 4, 'Cu': 1}",Orthorhombic,Cmcm,282.84807578462005,7.922994486211094,6.84996401,-0.2685158925000006,0.0,False
mp-1078886,Ce(AlAu)2,"{'Ce': 1, 'Al': 2, 'Au': 2}",Tetragonal,P4/nmm,203.65684196184563,9.588848040377004,6.46814802,-0.6968907419999993,0.0,False
mp-1079253,Tb6CoTe2,"{'Tb': 6, 'Co': 1, 'Te': 2}",Hexagonal,P-62m,240.18915491991604,8.76409660212889,5.02495954,-0.7582352564814817,0.0,False
mp-1095579,TmAlPt,"{'Tm': 1, 'Al': 1, 'Pt': 1}",Orthorhombic,Pnma,227.23308431747475,11.429151868993895,6.0449217,-1.1760128280555548,0.0,False
mp-1084767,Zr2InN,"{'Zr': 2, 'In': 1, 'N': 1}",Hexagonal,P6_3/mmc,139.98216512147772,7.384947621970393,6.83817862,-1.1524912687499986,0.0,False
mp-1102086,TiNiAs,"{'Ti': 1, 'Ni': 1, 'As': 1}",Orthorhombic,Pnma,167.3653743499332,7.202396602169615,8.24014169,-0.7735051752777776,0.0,False
mp-1102047,LuCoSn,"{'Lu': 1, 'Co': 1, 'Sn': 1}",Orthorhombic,Pnma,232.92322908057093,10.055210146110491,6.21009995,-0.4722860116666657,0.0,False
mp-1104541,Hf(Ni2P)2,"{'Hf': 1, 'Ni': 4, 'P': 2}",Tetragonal,P4_2/mnm,170.37186946455122,9.26334422184742,9.15600953,-0.7713614123809519,0.0,False
mp-1105156,Eu2Si5Pt3,"{'Eu': 2, 'Si': 5, 'Pt': 3}",Orthorhombic,Ibam,365.9339160251159,9.344329137816313,6.77393471,-0.8535568284999997,0.0,False
mp-1101849,YGaPd,"{'Y': 1, 'Ga': 1, 'Pd': 1}",Orthorhombic,Pnma,235.2602036228723,7.483186075753512,4.3116389,-0.8975002505555558,0.0,False
mp-1102327,LuGaPt,"{'Lu': 1, 'Ga': 1, 'Pt': 1}",Orthorhombic,Pnma,221.82329419562691,13.168353848914123,5.13324726,-1.1018936249999989,0.0,False
mp-1102311,Sc3(CuGe)4,"{'Sc': 3, 'Cu': 4, 'Ge': 4}",Orthorhombic,Immm,176.82147106194856,6.382266989241784,5.5022891,-0.5672963795454542,0.0,False
mp-1080611,CaIn2Ni,"{'Ca': 1, 'In': 2, 'Ni': 1}",Orthorhombic,Cmcm,171.1002713179014,6.374429605050863,6.68593359,-0.36256139124999986,0.0,False
mp-1103655,YNiGe,"{'Y': 1, 'Ni': 1, 'Ge': 1}",Orthorhombic,Pnma,211.1357804713913,6.928543855658574,5.96448933,-0.7968320680555555,0.0,False
mp-1103697,Bi2Pd3Se2,"{'Bi': 2, 'Pd': 3, 'Se': 2}",Monoclinic,C2/m,312.288505124373,9.519506764525913,5.28987689,-0.5149804992410719,0.0,False
mp-1080793,PuTe3,"{'Pu': 1, 'Te': 3}",Orthorhombic,Cmcm,250.78767391935412,8.300454888222127,8.50677553,-1.047036180000001,0.0,False
mp-1095134,LaCoGe2,"{'La': 1, 'Co': 1, 'Ge': 2}",Orthorhombic,Cmcm,153.38460926027696,7.429193195587363,7.53493429,-0.6774011637499999,0.0,False
mp-1102095,Lu3(CuSi)4,"{'Lu': 3, 'Cu': 4, 'Si': 4}",Orthorhombic,Immm,177.06229196610028,8.360048557405106,6.40734376,-0.6033871763636366,0.0,False
mp-1102508,DyOs2,"{'Dy': 1, 'Os': 2}",Hexagonal,P6_3/mmc,214.40805271577906,16.820381141119025,6.20946435,-0.30846073499999943,0.0,False
mp-1104792,MnBe12,"{'Mn': 1, 'Be': 12}",Tetragonal,I4/mmm,107.42966433306988,2.5207910224986003,4.86467024,-0.0629537090716185,0.0,False
mp-1105600,Lu5Ir3,"{'Lu': 5, 'Ir': 3}",Hexagonal,P6_3/mcm,351.20139083977733,13.725738396762527,4.71048771,-0.8849409474999996,0.0,False
mp-1105762,UIr,"{'U': 1, 'Ir': 1}",Monoclinic,P2_1,330.5246240843849,17.29227028162275,10.60311398,-0.4969643124999994,0.0,False
mp-1113753,KRb2RuF6,"{'K': 1, 'Rb': 2, 'Ru': 1, 'F': 6}",Cubic,Fm-3m,189.34583964279022,3.7280234165853168,1.07153748,-2.6134491963000004,0.0,False
mp-1102035,SmRe2,"{'Sm': 1, 'Re': 2}",Hexagonal,P6_3/mmc,229.86022173783553,15.106339730113628,5.47776115,-0.0794267933333342,0.0,False
mp-1099034,NaMn2P2O9,"{'Na': 1, 'Mn': 2, 'P': 2, 'O': 9}",Orthorhombic,Pnma,678.1175783399347,3.3186214915099628,1.70104146,-2.3793584002021757,0.0,False
mp-1095240,Ca3(GeIr)4,"{'Ca': 3, 'Ge': 4, 'Ir': 4}",Cubic,I-43m,218.7404055610701,8.955249174741933,5.75145491,-0.6724118527272729,0.0,False
mp-1102068,DyAsPd,"{'Dy': 1, 'As': 1, 'Pd': 1}",Orthorhombic,Pnma,229.60400121390657,9.94690696161385,5.60616037,-1.1945794683333328,0.0,False
mp-1071555,YbAgBi,"{'Yb': 1, 'Ag': 1, 'Bi': 1}",Hexagonal,P6_3mc,154.68759724550134,10.517703721144825,4.42718226,-0.6054028955555554,0.0,False
mp-1080590,DyAu3,"{'Dy': 1, 'Au': 3}",Orthorhombic,Pmmn,158.07519621970206,15.828538267315666,4.90314866,-0.71900935625,0.0,False
mp-1095160,Eu2InPd2,"{'Eu': 2, 'In': 1, 'Pd': 2}",Monoclinic,C2/c,242.87339570958477,8.636378009649896,4.26484008,-0.7235470969999994,0.0,False
mp-1088,YbGa4,"{'Yb': 1, 'Ga': 4}",Tetragonal,I4/mmm,100.99260432159531,7.430749474060268,3.60847083,-0.4092491880000001,0.0,False
