Material,Substitutions,Composition,Tc (K),Pressure (GPa),Shape,Substrate,DOI
Sr Fe 2 As 2,{},"{'Sr': 1, 'Fe': 2, 'As': 2}",30.0,0.0,,,10.1038/s41598-019-52887-y
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.5,0.0,,,10.1088/0953-2048/25/8/084025
Tl 2 Ba 2 Cu O 6,{},"{'Tl': 2, 'Ba': 2, 'Cu': 1, 'O': 6}",74.0,0.0,,,10.1103/physrevlett.95.077001
Bi 2 Sr 2 Cu O 6,{},"{'Bi': 2, 'Sr': 2, 'Cu': 1, 'O': 6}",40.0,0.0,,,10.1103/physrevlett.95.077001
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1103/physrevb.72.024504
Rb x Fe 2-y Se 2,"{'x': [], 'y': []}",,33.0,0.0,,,10.1103/physrevb.86.134530
Fe Se 1-x,{'x': []},,8.0,0.0,,,10.1103/physrevb.86.134530
U 2 Pt C 2,{},"{'U': 2, 'Pt': 1, 'C': 2}",1.45,0.0,,,
U 2 Pt C 2,{},"{'U': 2, 'Pt': 1, 'C': 2}",1.5,0.0,,,
Al,{},{'Al': 1},1.18,0.0,film,,10.1063/1.125386
Mg 1-x Al x B 2,{'x': [0.2]},"{'Mg': 0.8, 'Al': 0.2, 'B': 2}",22.5,0.0,single crystals,,10.1103/physrevb.73.224528
Mg 1-x Al x B 2,{'x': [0.2]},"{'Mg': 0.8, 'Al': 0.2, 'B': 2}",19.5,0.0,single crystals,,10.1103/physrevb.73.224528
Fe Te 0.8 Se 0.2,{},"{'Fe': 1, 'Te': 0.8, 'Se': 0.2}",13.0,0.0,,,10.1088/2053-1591/aafea6
Fe Se,{},"{'Fe': 1, 'Se': 1}",100.0,0.0,,,10.1088/2053-1591/aafea6
La H 10,{},"{'La': 1, 'H': 10}",265.0,170.0,,,
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",70.0,0.0,,,10.1103/physrevb.97.134517
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",70.0,0.0,,,10.1103/physrevb.97.134517
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",70.0,0.0,,,10.1103/physrevb.97.134517
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",78.0,0.0,,,10.1103/physrevb.97.134517
Mg B 2,{},"{'Mg': 1, 'B': 2}",38.0,0.0,single crystal,,
Sr 1-x Sm x Fe As F,{'x': []},,56.0,0.0,,,10.1209/0295-5075/85/47008
Ba 0.6 K 0.4 Fe 2 As 2,{},"{'Ba': 0.6, 'K': 0.4, 'Fe': 2, 'As': 2}",38.0,0.0,,,10.1209/0295-5075/85/47008
Ba 1-x K x Fe 2 As 2,{'x': []},,3.0,0.0,,,10.1209/0295-5075/85/47008
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1209/0295-5075/85/47008
Nd Fe As O 0.9 F 0.1,{},"{'Nd': 1, 'Fe': 1, 'As': 1, 'O': 0.9, 'F': 0.1}",53.0,0.0,single crystals,,10.1209/0295-5075/85/47008
Sm Fe As O 1-x F x,{'x': []},,55.0,0.0,,,10.1209/0295-5075/85/47008
La O 1-x F x Fe As,{'x': []},,1.0,0.0,,,10.1209/0295-5075/85/47008
La O 0.9 F 0.1 Fe As,{},"{'La': 1, 'O': 0.9, 'F': 0.1, 'Fe': 1, 'As': 1}",26.0,0.0,,,10.1209/0295-5075/82/37007
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1088/0953-2048/17/4/007
Mg C 1-x Ni 3,{'x': []},,7.0,0.0,,,10.1088/0953-2048/17/4/007
Cd,{},{'Cd': 1},0.9,0.0,crystalline,,10.1088/0953-2048/15/11/313
Cd,{},{'Cd': 1},0.9,0.0,,,10.1088/0953-2048/15/11/313
Cd,{},{'Cd': 1},0.9,0.0,,,10.1088/0953-2048/15/11/313
Cd,{},{'Cd': 1},0.9,0.0,film,,10.1088/0953-2048/15/11/313
Nb,{},{'Nb': 1},9.2,0.0,,,10.1103/physrevb.71.180503
La Fe As O 0.95 F 0.05,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 0.95, 'F': 0.05}",20.6,0.0,,,10.1088/0953-2048/29/7/073002
K 0.8 Fe 2.2 Se 2,{},"{'K': 0.8, 'Fe': 2.2, 'Se': 2}",31.8,0.0,single crystal,,10.1088/0953-2048/29/7/073002
Sm Fe As O 0.85 F 0.15,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.85, 'F': 0.15}",52.0,0.0,polycrystal,,10.1088/0953-2048/29/7/073002
K 0.8 Fe 1.76 Se 2.0,{},"{'K': 0.8, 'Fe': 1.76, 'Se': 2.0}",30.0,0.0,single crystal,,10.1088/0953-2048/29/7/073002
Tb 1-x Th x Fe As O,{'x': []},,50.0,0.0,,,10.1088/0953-2048/29/7/073002
Sm 0.9 Th 0.1 Fe As O 0.85 F 0.15,{},"{'Sm': 0.9, 'Th': 0.1, 'Fe': 1, 'As': 1, 'O': 0.85, 'F': 0.15}",55.0,0.0,,,10.1088/0953-2048/29/7/073002
La 0.8 Th 0.2 Fe As O,{},"{'La': 0.8, 'Th': 0.2, 'Fe': 1, 'As': 1, 'O': 1}",30.3,0.0,,,10.1088/0953-2048/29/7/073002
Fe Se 0.97,{},"{'Fe': 1, 'Se': 0.97}",9.0,0.0,,,10.1088/0953-2048/29/7/073002
Fe 1.01 Te 0.62 Se 0.38,{},"{'Fe': 1.01, 'Te': 0.62, 'Se': 0.38}",13.4,0.0,,,10.1088/0953-2048/29/7/073002
Fe 1.01 Te 0.62 Se 0.38,{},"{'Fe': 1.01, 'Te': 0.62, 'Se': 0.38}",13.4,0.0,,,10.1088/0953-2048/29/7/073002
Fe Se,{},"{'Fe': 1, 'Se': 1}",13.0,0.0,,,10.1088/0953-2048/29/7/073002
Pr Fe 0.9 Co 0.1 As O,{},"{'Pr': 1, 'Fe': 0.9, 'Co': 0.1, 'As': 1, 'O': 1}",16.0,0.0,,,10.1088/0953-2048/29/7/073002
Na x Fe As,{'x': []},,18.0,0.0,,,10.1088/0953-2048/29/7/073002
La Fe 0.89 Co 0.11 As O,{},"{'La': 1, 'Fe': 0.89, 'Co': 0.11, 'As': 1, 'O': 1}",14.3,0.0,,,10.1088/0953-2048/29/7/073002
K Fe 2 As 2,{},"{'K': 1, 'Fe': 2, 'As': 2}",3.8,0.0,,,10.1088/0953-2048/29/7/073002
Fe Te 0.5 Se 0.5,{},"{'Fe': 1, 'Te': 0.5, 'Se': 0.5}",16.0,0.0,,,10.1088/0953-2048/29/7/073002
La O 0.9 F 0.1 Fe As,{},"{'La': 1, 'O': 0.9, 'F': 0.1, 'Fe': 1, 'As': 1}",26.0,0.0,,,10.1088/0953-2048/29/7/073002
Fe 1+y Te 0.6 Se 0.4,{'y': []},,14.0,0.0,single crystal,,10.1088/0953-2048/29/7/073002
Fe Se 0.97,{},"{'Fe': 1, 'Se': 0.97}",0.6,0.0,,,10.1088/0953-2048/29/7/073002
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,32.0,0.0,,,10.1088/0953-2048/29/7/073002
Rb x Fe 2-y Se 2,"{'x': [], 'y': []}",,32.0,0.0,,,10.1088/0953-2048/29/7/073002
Cs x Fe 2-y Se 2,"{'x': [], 'y': []}",,32.0,0.0,,,10.1088/0953-2048/29/7/073002
Fe 1.01 Te 0.62 Se 0.4,{},"{'Fe': 1.01, 'Te': 0.62, 'Se': 0.4}",13.4,0.0,single crystals,,10.1088/0953-2048/29/7/073002
Fe 1.01 Te 0.62 Se 0.4,{},"{'Fe': 1.01, 'Te': 0.62, 'Se': 0.4}",13.9,0.0,single crystals,,10.1088/0953-2048/29/7/073002
Ce Fe 0.9 Co 0.1 As O,{},"{'Ce': 1, 'Fe': 0.9, 'Co': 0.1, 'As': 1, 'O': 1}",12.5,0.0,,,10.1088/0953-2048/29/7/073002
Tb Fe As O 0.85,{},"{'Tb': 1, 'Fe': 1, 'As': 1, 'O': 0.85}",42.5,0.0,polycrystalline,,10.1088/0953-2048/29/7/073002
La O 0.9 F 0.1 Fe As,{},"{'La': 1, 'O': 0.9, 'F': 0.1, 'Fe': 1, 'As': 1}",26.0,0.0,,,10.1088/0953-2048/29/7/073002
K 0.8 Fe 1.76 Se 2,{},"{'K': 0.8, 'Fe': 1.76, 'Se': 2}",30.0,0.0,single crystal,,10.1088/0953-2048/29/7/073002
Fe 1.01 Te 0.62 Se 0.4,{},"{'Fe': 1.01, 'Te': 0.62, 'Se': 0.4}",13.9,0.0,,,10.1088/0953-2048/29/7/073002
La Fe As O 2,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 2}",26.0,0.0,,,10.1088/0953-2048/29/7/073002
Sm Fe As O 0.85,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.85}",53.0,0.0,,,10.1088/0953-2048/29/7/073002
Sm Fe As O 0.85,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.85}",30.3,0.0,,,10.1088/0953-2048/29/7/073002
Fe Se 0.98,{},"{'Fe': 1, 'Se': 0.98}",8.5,0.0,,,10.1088/0953-2048/29/7/073002
Sm Fe 0.9 Co 0.1 As O,{},"{'Sm': 1, 'Fe': 0.9, 'Co': 0.1, 'As': 1, 'O': 1}",17.2,0.0,,,10.1088/0953-2048/29/7/073002
La Fe 0.9 Co 0.1 As O,{},"{'La': 1, 'Fe': 0.9, 'Co': 0.1, 'As': 1, 'O': 1}",13.0,0.0,,,10.1088/0953-2048/29/7/073002
Fe 1.01 Te 0.62 Se 0.38,{},"{'Fe': 1.01, 'Te': 0.62, 'Se': 0.38}",13.4,0.0,,,10.1088/0953-2048/29/7/073002
Fe Se 1-y,{'y': []},,9.4,0.0,,,10.1088/0953-2048/29/7/073002
La O 0.8 F 0.2 Fe As 0.95 Sb 0.05,{},"{'La': 1, 'O': 0.8, 'F': 0.2, 'Fe': 1, 'As': 0.95, 'Sb': 0.05}",30.1,0.0,,,10.1088/0953-2048/29/7/073002
K 0.8 Fe 2.2 Se 2,{},"{'K': 0.8, 'Fe': 2.2, 'Se': 2}",31.8,0.0,single crystal,,10.1088/0953-2048/29/7/073002
Fe 1.01 Te 0.62 Se 0.4,{},"{'Fe': 1.01, 'Te': 0.62, 'Se': 0.4}",13.9,0.0,,,10.1088/0953-2048/29/7/073002
K 0.65 Fe 1.41 Se 2.0,{},"{'K': 0.65, 'Fe': 1.41, 'Se': 2.0}",32.0,0.0,single crystal,,10.1088/0953-2048/29/7/073002
Na 0.05 W O 3,{},"{'Na': 0.05, 'W': 1, 'O': 3}",91.0,0.0,,,
Na 0.04 N H 3,{},"{'Na': 0.04, 'N': 1, 'H': 3}",200.0,170.0,,,
Sr 2 Cu O 3+d,{'d': []},,95.0,0.0,,,10.1140/epjst/e2011-01423-2
Cu O 3+d,{'d': []},,95.0,0.0,,,10.1140/epjst/e2011-01423-2
Lu Rh 4 B 4,{},"{'Lu': 1, 'Rh': 4, 'B': 4}",7.0,0.0,,,10.1140/epjst/e2011-01423-2
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1016/s0022-4596(02)00045-2
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",85.0,0.0,,,
Y Ba 2 Cu 3 O 7-δ,{'δ': []},,164.0,30.0,,,
Hg Ba 2 Ca 2 Cu 3 O 8+δ,{'δ': []},,122.0,0.0,,,
Ru 0.9 Sr 2 Y Cu 2.1 O 7.9,{},"{'Ru': 0.9, 'Sr': 2, 'Y': 1, 'Cu': 2.1, 'O': 7.9}",30.0,0.0,,,10.1002/chin.200549225
Ru 0.9 Sr 2 Y Cu 2.1 O 7.9,{},"{'Ru': 0.9, 'Sr': 2, 'Y': 1, 'Cu': 2.1, 'O': 7.9}",5.0,0.0,,,10.1002/chin.200549225
Ru 0.9 Sr 2 Y Cu 2.1 O 7.9,{},"{'Ru': 0.9, 'Sr': 2, 'Y': 1, 'Cu': 2.1, 'O': 7.9}",10.0,0.0,,,10.1002/chin.200549225
Br,{},{'Br': 1},11.6,0.0,,,10.1103/physrevb.65.144521
Pu Pt 2 In 7,{},"{'Pu': 1, 'Pt': 2, 'In': 7}",2.0,0.0,single crystals,,10.1103/physrevb.86.115137
Pu Pt 2 In 7,{},"{'Pu': 1, 'Pt': 2, 'In': 7}",2.0,0.0,,,10.1103/physrevb.86.115137
Pu Pt 2 In 7,{},"{'Pu': 1, 'Pt': 2, 'In': 7}",2.0,0.0,,,10.1103/physrevb.86.115137
Pu Rh 1-x Co x Ga 5,{'x': []},,18.0,0.0,,,10.1103/physrevb.86.115137
Bi 2 Sr 2 Cu O 6,{},"{'Bi': 2, 'Sr': 2, 'Cu': 1, 'O': 6}",30.0,0.0,,,10.1007/978-3-642-00712-5_5
Ba F 2,{},"{'Ba': 1, 'F': 2}",91.0,0.0,,,10.1103/physrevb.72.134514
Bi 2 Sr 2 Cu O 6,{},"{'Bi': 2, 'Sr': 2, 'Cu': 1, 'O': 6}",28.0,0.0,,,10.1016/j.radphyschem.2005.07.058
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",90.0,0.0,,,10.1016/j.radphyschem.2005.07.058
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1007/s100510170191
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1007/s100510170191
Ti N,{},"{'Ti': 1, 'N': 1}",5.0,0.0,films,,10.1063/1.4851235
Ce Pt 3 Si,{},"{'Ce': 1, 'Pt': 3, 'Si': 1}",0.5,0.0,,,10.1143/jpsj.77.124711
Ce Pt 3 Si,{},"{'Ce': 1, 'Pt': 3, 'Si': 1}",0.75,0.0,,,10.1143/jpsj.77.124711
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1063/1.1583852
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",3.0,0.0,,,10.1103/physrevlett.87.037003
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",1.5,0.0,,,10.1103/physrevlett.87.037003
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",1.5,0.0,,,10.1103/physrevlett.87.037003
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",3.0,0.0,single crystal,,10.1103/physrevlett.87.037003
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",1.5,0.0,,,10.1103/physrevlett.87.037003
Lu 5-x Rh 6 Sn 18+x,{'x': []},,0.35,0.0,single crystal,,10.1103/physrevb.99.184513
Sr Fe 2 (As 0.65 P 0.35) 2,{},"{'Sr': 1, 'Fe': 2, 'As': 1.3, 'P': 0.7}",30.0,0.0,,,10.1103/physrevb.93.104528
Bi 2.1 Sr 1.9 Ca 0.9 Cu 2 O 8+δ,{'δ': []},,88.5,0.0,crystal,,10.1088/0953-8984/17/35/r01
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",91.0,0.0,Single crystal,,10.1038/nphys2744
Tl 2 Ba 2 Cu O 6,{},"{'Tl': 2, 'Ba': 2, 'Cu': 1, 'O': 6}",15.0,0.0,,,10.1073/pnas.1301989110
Tl 2 Ba 2 Cu O 6,{},"{'Tl': 2, 'Ba': 2, 'Cu': 1, 'O': 6}",39.0,0.0,,,10.1073/pnas.1301989110
Hg Ba 2 Cu O 6,{},"{'Hg': 1, 'Ba': 2, 'Cu': 1, 'O': 6}",15.0,0.0,,,10.1073/pnas.1301989110
Hg Ba 2 Cu O 6,{},"{'Hg': 1, 'Ba': 2, 'Cu': 1, 'O': 6}",80.0,0.0,,,10.1073/pnas.1301989110
Hg Ba 2 Cu Ca n-1 Cu n O 2n+2+,{'n': []},,98.0,0.0,,,10.1073/pnas.1301989110
Hg Ba 2 Cu O 6,{},"{'Hg': 1, 'Ba': 2, 'Cu': 1, 'O': 6}",67.0,0.0,,,10.1073/pnas.1301989110
Ce Rh In 5,{},"{'Ce': 1, 'Rh': 1, 'In': 5}",2.1,0.0,,,10.1143/jpsj.72.854
Ce Co In 5,{},"{'Ce': 1, 'Co': 1, 'In': 5}",2.3,0.0,,,10.1143/jpsj.72.854
Ce Co In 5,{},"{'Ce': 1, 'Co': 1, 'In': 5}",2.3,0.0,,,10.1143/jpsj.72.854
Ce Ir In 5,{},"{'Ce': 1, 'Ir': 1, 'In': 5}",0.4,0.0,,,10.1143/jpsj.72.854
Ce Ir In 5,{},"{'Ce': 1, 'Ir': 1, 'In': 5}",0.2,0.0,,,10.1143/jpsj.72.854
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",1.3,0.0,single crystals,,10.1103/physrevlett.92.097402
Bi 2 Sr 2 Ca Cu 2 O 8+δ,{'δ': []},,91.0,10.0,single crystal,,10.1038/s41586-020-2143-x
Sr Pt 2 As 2,{},"{'Sr': 1, 'Pt': 2, 'As': 2}",5.2,0.0,,,10.1143/jpsj.79.123710
Sr Pt 2 As 2,{},"{'Sr': 1, 'Pt': 2, 'As': 2}",5.2,0.0,,,10.1143/jpsj.79.123710
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1143/jpsj.79.123710
(Ba 1-x K x) Fe 2 As 2,{'x': []},,38.0,0.0,,,10.1143/jpsj.79.123710
Sr Ni 2 As 2,{},"{'Sr': 1, 'Ni': 2, 'As': 2}",0.62,0.0,,,10.1143/jpsj.79.123710
Sr Pt 2 As 2,{},"{'Sr': 1, 'Pt': 2, 'As': 2}",5.2,0.0,,,10.1143/jpsj.79.123710
Sr Pt 2 As 2,{},"{'Sr': 1, 'Pt': 2, 'As': 2}",5.2,0.0,,,10.1143/jpsj.79.123710
Ba Ni 2 As 2,{},"{'Ba': 1, 'Ni': 2, 'As': 2}",0.7,0.0,,,10.1143/jpsj.79.123710
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1088/0953-8984/13/22/107
Bi 2 Se 3,{},"{'Bi': 2, 'Se': 3}",3.8,0.0,,,
Bi 2 Te 2.1 Se 0.9,{},"{'Bi': 2, 'Te': 2.1, 'Se': 0.9}",6.6,2.4,,,
Bi 2 Te 2.1 Se 0.9,{},"{'Bi': 2, 'Te': 2.1, 'Se': 0.9}",6.6,0.0,,,
Bi 2 Te 2.1 Se 0.9,{},"{'Bi': 2, 'Te': 2.1, 'Se': 0.9}",6.6,2.4,,,
Sb 2 Te 3,{},"{'Sb': 2, 'Te': 3}",3.0,4.0,,,
Fe Te 1-x Se x,{'x': []},,14.6,0.0,,,
Nb B 2,{},"{'Nb': 1, 'B': 2}",39.0,0.0,,,10.1103/physrevb.66.064516
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1103/physrevb.66.064516
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1103/physrevb.66.064516
Mg B 2,{},"{'Mg': 1, 'B': 2}",5.0,0.0,,,10.1103/physrevb.66.064516
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",85.0,0.0,,,10.1209/epl/i2002-00633-9
La O 1-x F x Fe As,{'x': []},,26.0,0.0,,,10.1063/1.2215374
Sm Fe As O 0.9 F 0.1,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.9, 'F': 0.1}",52.6,0.0,,,10.1063/1.2215374
Sm Fe As O 0.85,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.85}",55.0,0.0,,,10.1063/1.2215374
Er Ni 2 B 2 C,{},"{'Er': 1, 'Ni': 2, 'B': 2, 'C': 1}",11.0,0.0,,,10.1063/1.2215374
Fe Se,{},"{'Fe': 1, 'Se': 1}",45.0,0.0,films,,10.7566/jpsj.85.104701
Li x (C 6 H 16 N 2) y Fe 2-z Se 2,"{'z': [], 'x': [], 'y': []}",,38.0,0.0,,,10.7566/jpsj.85.104701
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,10.7566/jpsj.85.104701
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,10.7566/jpsj.85.104701
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",95.0,0.0,single crystals,,10.1103/physrevb.95.174501
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",97.0,0.0,,,10.1016/s0921-4534(00)00489-5
Rb Gd 2 Fe 4 As 4 O 2,{},"{'Rb': 1, 'Gd': 2, 'Fe': 4, 'As': 4, 'O': 2}",35.0,0.0,,,10.1016/j.physc.2018.02.002
Rb Gd 2 Fe 4 As 4 O 2,{},"{'Rb': 1, 'Gd': 2, 'Fe': 4, 'As': 4, 'O': 2}",35.0,0.0,,,10.1016/j.physc.2018.02.002
Rb Gd 2 Fe 4 As 4 O 2,{},"{'Rb': 1, 'Gd': 2, 'Fe': 4, 'As': 4, 'O': 2}",35.0,0.0,,,10.1016/j.physc.2018.02.002
Ta Se 2-x Te x,{'x': []},,0.4,0.0,,,10.1073/pnas.1502460112
Bi,{},{'Bi': 1},1.6,0.0,,,10.1016/j.physc.2009.11.164
Bi O Cu 0.9 S,{},"{'Bi': 1, 'O': 1, 'Cu': 0.9, 'S': 1}",5.8,0.0,,,10.1016/j.physc.2009.11.164
Bi S 2,{},"{'Bi': 1, 'S': 2}",5.6,0.0,,,10.1016/j.ssc.2015.09.002
Fe 1+x Te 1-y Se y,"{'x': [], 'y': []}",,14.0,0.0,,,10.1088/0953-8984/25/19/195701
Fe Se,{},"{'Fe': 1, 'Se': 1}",37.0,0.0,,,10.1088/0953-8984/25/19/195701
Mg C Ni 3,{},"{'Mg': 1, 'C': 1, 'Ni': 3}",7.0,0.0,single crystals,,10.1103/physrevb.83.104511
Mg C Ni 3,{},"{'Mg': 1, 'C': 1, 'Ni': 3}",6.85,0.0,,,10.1103/physrevb.83.104511
Y B 6,{},"{'Y': 1, 'B': 6}",7.1,0.0,,,10.1103/physrevb.88.014107
Ca B 2,{},"{'Ca': 1, 'B': 2}",1.0,8.0,,,10.1103/physrevb.88.014107
Ca B 6.25,{},"{'Ca': 1, 'B': 6.25}",1.9,50.0,,,10.1103/physrevb.88.014107
Ca C 6,{},"{'Ca': 1, 'C': 6}",11.5,0.0,,,10.1103/physrevb.88.014107
Y B 6,{},"{'Y': 1, 'B': 6}",7.0,0.0,,,10.1103/physrevb.88.014107
Sr 4 B 8,{},"{'Sr': 4, 'B': 8}",0.7,30.0,,,10.1103/physrevb.88.014107
Ca B 6.25,{},"{'Ca': 1, 'B': 6.25}",1.9,0.0,,,10.1103/physrevb.88.014107
Mg B 2,{},"{'Mg': 1, 'B': 2}",42.0,0.0,ultrathin films,SiC,10.1109/tasc.2012.2230212
Al 2 O 3,{},"{'Al': 2, 'O': 3}",35.0,0.0,,,10.1109/tasc.2012.2230212
Mg B 2,{},"{'Mg': 1, 'B': 2}",35.0,0.0,"ultrathin, films",,10.1109/tasc.2012.2230212
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1109/tasc.2012.2230212
Mg B 2,{},"{'Mg': 1, 'B': 2}",34.0,0.0,"ultrathin, films",,10.1109/tasc.2012.2230212
Al 2 O 3,{},"{'Al': 2, 'O': 3}",34.0,0.0,"ultrathin, films",,10.1109/tasc.2012.2230212
La 1.88 Sr 0.12 Cu O 4,{},"{'La': 1.88, 'Sr': 0.12, 'Cu': 1, 'O': 4}",16.6,0.0,film,,10.1103/physrevb.80.054507
La 1.65 Sr 0.35 Cu O 4,{},"{'La': 1.65, 'Sr': 0.35, 'Cu': 1, 'O': 4}",16.6,0.0,film,,10.1103/physrevb.80.054507
Nb Ti N,{},"{'Nb': 1, 'Ti': 1, 'N': 1}",17.0,0.0,,,
Nb 3 Sn,{},"{'Nb': 3, 'Sn': 1}",18.0,0.0,,,
Ce O Bi S 2,{},"{'Ce': 1, 'O': 1, 'Bi': 1, 'S': 2}",1.3,0.0,,,10.1016/j.jallcom.2017.06.125
Ce (O F) Bi S 2,{},"{'Ce': 1, 'O': 1, 'F': 1, 'Bi': 1, 'S': 2}",3.1,0.0,,,10.1016/j.jallcom.2017.06.125
Ce O Bi S 2,{},"{'Ce': 1, 'O': 1, 'Bi': 1, 'S': 2}",1.3,0.0,,,10.1016/j.jallcom.2017.06.125
Pb,{},{'Pb': 1},0.1,0.0,,,10.1103/physrevb.91.214508
Y Fe 2 Ge 2,{},"{'Y': 1, 'Fe': 2, 'Ge': 2}",1.8,0.0,,,10.1209/0295-5075/128/47004
La Fe Si H,{},"{'La': 1, 'Fe': 1, 'Si': 1, 'H': 1}",11.0,0.0,,,10.1209/0295-5075/128/47004
Nb N,{},"{'Nb': 1, 'N': 1}",4.2,0.0,films,,10.1063/1.4757625
Nb Ti N,{},"{'Nb': 1, 'Ti': 1, 'N': 1}",15.0,0.0,,,10.1063/1.4757625
Nb,{},{'Nb': 1},9.25,0.0,,,10.1063/1.4757625
Mg B 2,{},"{'Mg': 1, 'B': 2}",18.0,0.0,,,10.1063/1.4757625
Mg B 2,{},"{'Mg': 1, 'B': 2}",37.9,0.0,,,10.1088/0953-2048/20/5/013
Zr B 12,{},"{'Zr': 1, 'B': 12}",6.0,0.0,,,10.1103/physrevb.73.024512
Y B 6,{},"{'Y': 1, 'B': 6}",8.4,0.0,,,10.1103/physrevb.73.024512
Al,{},{'Al': 1},1.2,0.0,,,10.1126/science.1144359
Sr Ni 2 P 2,{},"{'Sr': 1, 'Ni': 2, 'P': 2}",1.4,0.0,,,10.1088/1742-6596/273/1/012097
Sr Ni 2 P 2,{},"{'Sr': 1, 'Ni': 2, 'P': 2}",0.7,0.0,,,10.1088/1742-6596/273/1/012097
Ba Ni 2 As 2,{},"{'Ba': 1, 'Ni': 2, 'As': 2}",0.7,0.0,,,10.1088/1742-6596/273/1/012097
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",38.0,0.0,,,
Y Ba 2 Cu 4 O 8,{},"{'Y': 1, 'Ba': 2, 'Cu': 4, 'O': 8}",80.0,0.0,crystal,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",20.0,0.0,,,10.21468/scipostphys.3.2.010
Nb 3 Sn,{},"{'Nb': 3, 'Sn': 1}",39.0,0.0,,,10.21468/scipostphys.3.2.010
Bi 2 Se 3,{},"{'Bi': 2, 'Se': 3}",10.0,0.0,,,10.1209/0295-5075/103/67010
Ce O 0.88 F 0.12 Fe As,{},"{'Ce': 1, 'O': 0.88, 'F': 0.12, 'Fe': 1, 'As': 1}",38.0,0.0,,,10.1088/0256-307x/25/10/067
La O 0.92 F 0.08 Fe As,{},"{'La': 1, 'O': 0.92, 'F': 0.08, 'Fe': 1, 'As': 1}",26.0,0.0,,,10.1088/0256-307x/25/10/067
La (O 1-x F x) Fe As,{'x': []},,26.0,0.0,,,10.1088/0256-307x/25/10/067
