Material,Substitutions,Composition,Tc (K),Pressure (GPa),Shape,Substrate,DOI
Ba (Fe 0.95 Co 0.05) 2 As 2,{},"{'Ba': 1, 'Fe': 1.9, 'Co': 0.1, 'As': 2}",18.5,0.0,,,10.1103/physrevb.92.134509
K 0.4 Ba 0.6 Fe 2 As 2,{},"{'K': 0.4, 'Ba': 0.6, 'Fe': 2, 'As': 2}",38.0,0.0,,,10.1103/physrevb.92.134509
Nd Fe As O 1-x F x,{'x': []},,32.5,0.0,,,10.1103/physrevb.92.134509
Nd Fe As O 1-x F x,{'x': []},,35.0,0.0,,,10.1103/physrevb.92.134509
Nd Fe As O 0.85,{},"{'Nd': 1, 'Fe': 1, 'As': 1, 'O': 0.85}",51.0,0.0,,,10.1103/physrevb.92.134509
Ce Fe As O 0.84 F 0.16,{},"{'Ce': 1, 'Fe': 1, 'As': 1, 'O': 0.84, 'F': 0.16}",41.0,0.0,,,10.1103/physrevlett.101.217002
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",28.0,0.0,,,10.1103/physrevlett.101.217002
Nb,{},{'Nb': 1},9.1,0.0,Bulk,,10.1109/lmag.2019.2955419
Ta 4 Pd 3 Te 16,{},"{'Ta': 4, 'Pd': 3, 'Te': 16}",4.6,0.0,,,10.1088/1361-648x/aaa3b6
Li 2 Ni 3 B,{},"{'Li': 2, 'Ni': 3, 'B': 1}",1.8,0.0,,,10.1016/j.physc.2007.03.163
Li 2 Ru 3 B,{},"{'Li': 2, 'Ru': 3, 'B': 1}",1.8,0.0,,,10.1016/j.physc.2007.03.163
Li 2 Rh 3 B,{},"{'Li': 2, 'Rh': 3, 'B': 1}",1.8,0.0,,,10.1016/j.physc.2007.03.163
Li 2 Re 3 B,{},"{'Li': 2, 'Re': 3, 'B': 1}",1.8,0.0,,,10.1016/j.physc.2007.03.163
Li 2 Ag 3 B,{},"{'Li': 2, 'Ag': 3, 'B': 1}",1.8,0.0,,,10.1016/j.physc.2007.03.163
Li 2 Ni 3 B,{},"{'Li': 2, 'Ni': 3, 'B': 1}",1.8,0.0,,,10.1016/j.physc.2007.03.163
Li 2 Ru 3 B,{},"{'Li': 2, 'Ru': 3, 'B': 1}",1.8,0.0,,,10.1016/j.physc.2007.03.163
Li 2 Rh 3 B,{},"{'Li': 2, 'Rh': 3, 'B': 1}",1.8,0.0,,,10.1016/j.physc.2007.03.163
Li 2 Re 3 B,{},"{'Li': 2, 'Re': 3, 'B': 1}",1.8,0.0,,,10.1016/j.physc.2007.03.163
Li 2 Ag 3 B,{},"{'Li': 2, 'Ag': 3, 'B': 1}",1.8,0.0,,,10.1016/j.physc.2007.03.163
Li 2 S 3 B,{},"{'Li': 2, 'S': 3, 'B': 1}",1.8,0.0,,,10.1016/j.physc.2007.03.163
Re 3 B,{},"{'Re': 3, 'B': 1}",4.65,0.0,,,10.1016/j.physc.2007.03.163
Mg C 1-x Ni 3,{'x': [0.04]},"{'Mg': 1, 'C': 0.96, 'Ni': 3}",7.0,0.0,,,10.1103/physrevb.66.172507
La 2-x Sr x Cu O 4,{'x': [0.17]},"{'La': 1.83, 'Sr': 0.17, 'Cu': 1, 'O': 4}",38.0,0.0,,,
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",100.0,0.0,,,
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",100.0,0.0,,,
K Fe 2 Se 2,{},"{'K': 1, 'Fe': 2, 'Se': 2}",40.0,0.0,,,
Ba 0.5 Fe 2 Se 2,{},"{'Ba': 0.5, 'Fe': 2, 'Se': 2}",4.0,0.0,,,
K Fe 2 Se 2,{},"{'K': 1, 'Fe': 2, 'Se': 2}",30.0,0.0,,,
Ce In 3,{},"{'Ce': 1, 'In': 3}",0.15,0.0,,,10.1103/physrevb.65.020504
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1088/0953-2048/17/4/007
Mg C 1-x Ni 3,{'x': []},,7.0,0.0,,,10.1088/0953-2048/17/4/007
(Tl K) y Fe 2-x Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1103/physrevlett.107.056401
Y Ba 2 Cu 3 O 6.98,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.98}",88.0,0.0,,,10.1038/nature12165
Y Ba 2 Cu 3 O 6.6,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.6}",61.6,0.0,,,10.1038/nature12165
Nb Se 2,{},"{'Nb': 1, 'Se': 2}",7.0,0.0,,,10.1103/physrevb.90.224515
H 3 Se,{},"{'H': 3, 'Se': 1}",112.0,0.0,,,10.1016/j.jpcs.2019.109315
H 3 Br,{},"{'H': 3, 'Br': 1}",98.0,0.0,,,10.1016/j.jpcs.2019.109315
H 3 Br,{},"{'H': 3, 'Br': 1}",100.0,0.0,,,10.1016/j.jpcs.2019.109315
H 3 Br,{},"{'H': 3, 'Br': 1}",150.0,170.0,,,10.1016/j.jpcs.2019.109315
H 3 Br,{},"{'H': 3, 'Br': 1}",150.0,170.0,,,10.1016/j.jpcs.2019.109315
Nb N,{},"{'Nb': 1, 'N': 1}",10.0,0.0,,,
Pr Os 4 Sb 12,{},"{'Pr': 1, 'Os': 4, 'Sb': 12}",1.85,0.0,,,
Ba 1-x (K Na) x Fe 2 As 2,{'x': []},,55.0,0.0,,,10.1103/physrevb.78.212509
Sr 1-x (K Na) x Fe 2 As 2,{'x': []},,55.0,0.0,,,10.1103/physrevb.78.212509
Eu 1-x (K Na) x Fe 2 As 2,{'x': []},,55.0,0.0,,,10.1103/physrevb.78.212509
Ca 1-x (K Na) x Fe 2 As 2,{'x': []},,55.0,0.0,,,10.1103/physrevb.78.212509
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1103/physrevb.97.060506
Fe Se,{},"{'Fe': 1, 'Se': 1}",10.0,0.0,,,10.1038/srep16385
Fe Se,{},"{'Fe': 1, 'Se': 1}",100.0,0.0,monolayer,,10.1038/srep16385
Rb Fe 2 As 2,{},"{'Rb': 1, 'Fe': 2, 'As': 2}",36.5,0.0,,,
Rb Eu Fe 4 As 4,{},"{'Rb': 1, 'Eu': 1, 'Fe': 4, 'As': 4}",36.5,0.0,,,
Rb Eu Fe 4 As 4,{},"{'Rb': 1, 'Eu': 1, 'Fe': 4, 'As': 4}",36.5,0.0,,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1016/s0921-4534(02)01417-x
Dy Mo 6 S 8,{},"{'Dy': 1, 'Mo': 6, 'S': 8}",1.6,0.0,,,10.1002/chin.200313205
Ho Fe As O 1-y,{'y': []},,49.0,0.0,,,10.1209/0295-5075/92/57011
Ho Fe As O 1-y,{'y': []},,49.1,0.0,,,10.1209/0295-5075/92/57011
Ho Fe As O 1-y,{'y': []},,49.0,0.0,,,10.1209/0295-5075/92/57011
La Ni P O,{},"{'La': 1, 'Ni': 1, 'P': 1, 'O': 1}",3.0,0.0,,,10.1143/jpsj.78.033706
Ba Ni 2 P 2,{},"{'Ba': 1, 'Ni': 2, 'P': 2}",3.0,1.0,single crystals,,10.1143/jpsj.78.033706
La Fe P O,{},"{'La': 1, 'Fe': 1, 'P': 1, 'O': 1}",4.0,0.0,,,10.1143/jpsj.78.033706
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",18.0,0.0,,,10.1143/jpsj.78.033706
Ba Ni 2 P 2,{},"{'Ba': 1, 'Ni': 2, 'P': 2}",3.0,1.0,,,10.1143/jpsj.78.033706
(Ba 1-x K x) Fe 2 As 2,{'x': []},,38.0,0.0,,,10.1143/jpsj.78.033706
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,10.1143/jpsj.78.033706
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1143/jpsj.78.033706
Eu B 6,{},"{'Eu': 1, 'B': 6}",15.3,0.0,,,10.1103/physrevb.64.174412
Eu B 6,{},"{'Eu': 1, 'B': 6}",15.4,0.0,,,10.1103/physrevb.64.174412
Eu B 6,{},"{'Eu': 1, 'B': 6}",65.0,0.0,,,10.1103/physrevb.64.174412
Eu B 6,{},"{'Eu': 1, 'B': 6}",12.0,0.0,,,10.1103/physrevb.64.174412
Eu B 6,{},"{'Eu': 1, 'B': 6}",15.3,0.0,,,10.1103/physrevb.64.174412
Eu B 6,{},"{'Eu': 1, 'B': 6}",12.5,0.0,,,10.1103/physrevb.64.174412
Eu B 6,{},"{'Eu': 1, 'B': 6}",12.0,0.0,,,10.1103/physrevb.64.174412
Eu Fe 2 As 2,{},"{'Eu': 1, 'Fe': 2, 'As': 2}",19.6,0.0,crystals,,10.1103/physrevb.95.174522
Eu Fe 2 As 2,{},"{'Eu': 1, 'Fe': 2, 'As': 2}",19.6,0.0,crystals,,10.1103/physrevb.95.174522
Eu (Fe 0.91 Ir 0.09) 2 As 2,{},"{'Eu': 1, 'Fe': 1.82, 'Ir': 0.18, 'As': 2}",21.0,0.0,,,10.1103/physrevb.95.174522
Eu (Fe 0.93 Rh 0.07) 2 As 2,{},"{'Eu': 1, 'Fe': 1.86, 'Rh': 0.14, 'As': 2}",19.6,0.0,,,10.1103/physrevb.95.174522
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",26.0,0.0,,,10.1103/physrevb.95.174522
La Fe As O 0.89 F 0.11,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 0.89, 'F': 0.11}",28.0,0.0,,,10.1088/0031-8949/88/06/068504
La Fe As O 0.89 F 0.11,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 0.89, 'F': 0.11}",28.0,0.0,polycrystalline,,10.1088/0031-8949/88/06/068504
Ba 1-x K x Fe 2 As 2,{'x': []},,32.0,0.0,,,10.1103/physrevb.79.224503
Sr 1-x Sm x Fe As F 9,{'x': []},,56.0,0.0,,,10.1103/physrevb.79.224503
Ba 1-x K x Fe 2 As 2,{'x': []},,32.0,0.0,,,10.1103/physrevb.79.224503
Ba 1-x K Fe 2 As 2,{'x': []},,38.0,0.0,,,10.1103/physrevb.79.224503
Ca 10 (Pt 4-δ As 8) ((Fe 0.97 Pt 0.03) 2 As 2) 5,{'δ': [0.246]},"{'Ca': 10, 'Pt': 4.054, 'As': 18, 'Fe': 9.7}",26.5,0.0,,,10.1103/physrevb.85.100502
Ca 10 (Pt n As 8) (Fe 2 As 2) 5,{'n': []},,38.0,0.0,,,10.1103/physrevb.85.100502
La In 3,{},"{'La': 1, 'In': 3}",0.7,0.0,,,10.1088/0953-8984/23/45/455701
La Sn 3,{},"{'La': 1, 'Sn': 3}",6.4,0.0,,,10.1088/0953-8984/23/45/455701
Mo 8 Ga 41,{},"{'Mo': 8, 'Ga': 41}",10.0,0.0,,,10.1103/physrevb.99.054503
Mo 8 Ga 41,{},"{'Mo': 8, 'Ga': 41}",10.0,0.0,,,10.1103/physrevb.99.054503
Ce Co In 5,{},"{'Ce': 1, 'Co': 1, 'In': 5}",2.3,0.0,,,10.1103/physrevb.96.060507
Nb Ti N,{},"{'Nb': 1, 'Ti': 1, 'N': 1}",15.0,0.0,,,10.1007/s10909-019-02295-3
Nb Ti N,{},"{'Nb': 1, 'Ti': 1, 'N': 1}",15.0,0.0,,,10.1007/s10909-019-02295-3
Fe Se,{},"{'Fe': 1, 'Se': 1}",58.0,0.0,,,10.1088/1361-6668/aaa501
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1038/35066528
Mg B 2,{},"{'Mg': 1, 'B': 2}",38.0,0.0,,,10.1038/35066528
Ba Sn 3,{},"{'Ba': 1, 'Sn': 3}",4.4,0.0,,,10.1088/1367-2630/15/2/023004
Ba Sn 3,{},"{'Ba': 1, 'Sn': 3}",4.4,0.0,,,10.1088/1367-2630/15/2/023004
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",26.0,0.0,,,10.1103/physrevb.96.104511
Sr Fe As F,{},"{'Sr': 1, 'Fe': 1, 'As': 1, 'F': 1}",56.0,0.0,,,
Li Fe As,{},"{'Li': 1, 'Fe': 1, 'As': 1}",17.5,0.0,,,10.1103/physrevb.101.100507
Pb Ta Se 2,{},"{'Pb': 1, 'Ta': 1, 'Se': 2}",3.8,0.0,,,10.1103/physrevb.101.100507
Lu Ni 2 B 2 C,{},"{'Lu': 1, 'Ni': 2, 'B': 2, 'C': 1}",10.0,0.0,,,10.1016/j.physc.2007.03.166
La Rh Si 3,{},"{'La': 1, 'Rh': 1, 'Si': 3}",2.16,0.0,,,10.1103/physrevb.83.064522
Mg B 2 Sn S,{},"{'Mg': 1, 'B': 2, 'Sn': 1, 'S': 1}",34.5,0.0,,,10.1016/j.ssc.2003.09.024
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1016/j.ssc.2003.09.024
Ba Bi O 3,{},"{'Ba': 1, 'Bi': 1, 'O': 3}",30.0,0.0,,,10.1103/physrevlett.117.037002
Ba 1-x K x Bi O 3,{'x': []},,32.0,0.0,,,10.1103/physrevlett.117.037002
Ca 10 (Pt 3 As 8) (Fe 2 As 2) 5,{},"{'Ca': 10, 'Pt': 3, 'As': 18, 'Fe': 10}",8.0,0.0,,,10.1103/physrevb.85.094510
Nb,{},{'Nb': 1},5.9,0.0,,,10.1103/physrevlett.95.147003
Nb,{},{'Nb': 1},9.2,0.0,films,,10.1103/physrevlett.95.147003
Mo 3 Al 2 C,{},"{'Mo': 3, 'Al': 2, 'C': 1}",9.2,0.0,polycrystalline,,10.1103/physrevb.82.064512
Mo 3 Al 2 C,{},"{'Mo': 3, 'Al': 2, 'C': 1}",10.0,0.0,,,10.1103/physrevb.82.064512
Mo 3 Al 2 C,{},"{'Mo': 3, 'Al': 2, 'C': 1}",9.2,0.0,,,10.1103/physrevb.82.064512
Mo 3 Al 2 C,{},"{'Mo': 3, 'Al': 2, 'C': 1}",9.2,0.0,,,10.1103/physrevb.82.064512
Y 0.78 Ca 0.22 Ba 2 Cu 3 O 6.5,{},"{'Y': 0.78, 'Ca': 0.22, 'Ba': 2, 'Cu': 3, 'O': 6.5}",59.0,0.0,,,
Y 1-z Ca z Ba 2 Cu 3 O 6.0,{'z': []},,30.0,0.0,,,
Y Ba 2 Cu 3 O 6.67,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.67}",67.0,0.0,,,10.1038/ncomms11494
U Te 2,{},"{'U': 1, 'Te': 2}",1.6,0.0,,,
Ce Co Ge 3,{},"{'Ce': 1, 'Co': 1, 'Ge': 3}",0.7,5.4,,,10.1103/physrevb.97.184422
Ce Rh Si 3,{},"{'Ce': 1, 'Rh': 1, 'Si': 3}",1.0,0.0,,,10.1103/physrevb.97.184422
Ce Ir Si 3,{},"{'Ce': 1, 'Ir': 1, 'Si': 3}",1.6,2.5,,,10.1103/physrevb.97.184422
Ce Ir Ge 3,{},"{'Ce': 1, 'Ir': 1, 'Ge': 3}",1.5,20.0,,,10.1103/physrevb.97.184422
Ce Ir Ge 3,{},"{'Ce': 1, 'Ir': 1, 'Ge': 3}",1.5,20.0,,,10.1103/physrevb.97.184422
La 2-x Sr x Cu O 4,{'x': []},,40.0,0.0,,,10.1088/0256-307x/26/1/017305
Y Ba 2 Cu 3 O 7,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 7}",90.0,0.0,,,10.1088/0256-307x/26/1/017305
Y Fe 2 Ge 2,{},"{'Y': 1, 'Fe': 2, 'Ge': 2}",1.8,0.0,,,10.1103/physrevlett.116.127001
Y Fe 2 Ge 2,{},"{'Y': 1, 'Fe': 2, 'Ge': 2}",1.8,0.0,,,10.1103/physrevlett.116.127001
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",91.0,0.0,,,10.1088/1674-1056/28/7/077403
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",81.0,0.0,,,10.1088/1674-1056/28/7/077403
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",81.0,0.0,,,10.1088/1674-1056/28/7/077403
Y Ba 2 Cu 3 O 7-δ,{'δ': []},,92.0,0.0,crystal,,10.1063/1.1515098
H 3 S,{},"{'H': 3, 'S': 1}",203.0,150.0,,,
Rb 0.75 Fe 1.63 Se 2,{},"{'Rb': 0.75, 'Fe': 1.63, 'Se': 2}",30.0,0.0,single crys- tal,,10.1103/physrevb.84.094504
